"geography code","Region","LA","All usual residents","Age 0 to 4","Age 5 to 7","Age 8 to 9","Age 10 to 14","Age 15","Age 16 to 17","Age 18 to 19","Age 20 to 24","Age 25 to 29","Age 30 to 44","Age 45 to 59","Age 60 to 64","Age 65 to 74","Age 75 to 84","Age 85 to 89","Age 90 and over","Mean Age","Median Age"
"E06000047","North East","County Durham",493470,26235,17479,12757,31497,6450,12223,13391,28784,27573,109688,99077,26770,45049,28058,5685,2754,NA,NA
"E06000005","North East","Darlington",97838,5696,3713,2585,6526,1275,2475,2103,4829,5826,21901,19120,5133,8695,5975,1319,667,NA,NA
"E08000020","North East","Gateshead",191151,10745,6772,4847,12172,2401,4844,4527,10119,11502,43400,36123,10555,18571,11278,2258,1037,NA,NA
"E06000001","North East","Hartlepool",88611,5297,3695,2526,6458,1297,2550,2063,4557,4864,19703,16558,4664,8260,4839,866,414,NA,NA
"E06000002","North East","Middlesbrough",134855,8310,5551,3857,10123,2175,4105,4079,9245,8172,29186,23621,6318,11386,6856,1285,586,NA,NA
"E08000021","North East","Newcastle upon Tyne",259536,14252,8998,6352,15951,3144,6037,9130,24814,18300,56214,43311,11663,21689,14797,3342,1542,NA,NA
"E08000022","North East","North Tyneside",191659,10373,6791,4847,12355,2413,4633,4007,9749,11373,43100,37851,9883,18376,12226,2406,1276,NA,NA
"E06000048","North East","Northumberland",307190,15803,10498,7765,19844,3995,7990,6605,14220,15774,66535,66886,17237,29432,18722,3972,1912,NA,NA
"E06000003","North East","Redcar and Cleveland",139132,7532,5292,3899,9776,2039,3925,3183,7036,7393,29681,28095,8014,12718,8194,1632,723,NA,NA
"E08000023","North East","South Tyneside",152785,8441,5670,4038,10670,2230,3945,3580,8072,8797,33819,28233,8044,14818,9881,1729,818,NA,NA
"E06000004","North East","Stockton-on-Tees",178408,10326,6841,5062,12815,2657,5144,4175,9857,10753,41329,34283,8673,15141,8896,1688,768,NA,NA
"E08000024","North East","Sunderland",280807,15434,10144,7465,19247,3923,7510,7811,18552,17860,61865,52842,14378,25410,14303,2744,1319,NA,NA
"E07000026","North West","Allerdale",93492,4799,3341,2387,5891,1181,2283,1907,4189,5012,20086,19902,5443,9240,5939,1230,662,NA,NA
"E07000027","North West","Barrow-in-Furness",71980,4125,2842,2030,5021,975,1814,1572,3263,4248,15796,14232,4047,6256,4385,955,419,NA,NA
